序号,省份,地市,区县,生产经营场所地址,污水处理厂名称,运营单位,排污许可证编号,"设计处理能力
（万吨/日）","2019年实际处理
水量（万吨）"
1,北京市,市辖区,昌平区,"沙河镇于辛庄村东
南","北京北控昌沙污水
净化有限公司（沙
河再生水厂二期）","北京北控昌沙污水
净化有限公司",9111011439603824X1001X,6,1862.73
2,北京市,市辖区,昌平区,南邵镇姜屯村北,"北京北控昌祥污水
净化有限公司","北京北控昌祥污水
净化有限公司",911101143960382319001X,3,905.01
3,北京市,市辖区,昌平区,"沙河镇于辛庄村东
南","北京北控污水净化
及回用有限公司
（沙河再生水厂一
期）","北京北控污水净化
及回用有限公司",911101146892493075001Y,3,997.34
4,北京市,市辖区,大兴区,"安定镇伙达营村东
南","北京北控兴安水务
有限公司（大龙河
污水处理站）","北京北控兴安水务
有限公司",91110115MA01D57K05001R,0.15,32.57
5,北京市,市辖区,大兴区,"北臧村镇皮各庄二
村村委会北500米
集中供水厂院内","北臧村镇六合庄及
马村污水处理站","北京北控兴北水环
境治理有限公司",91110115MA00GN4U8L001R,0.07,7.33
6,北京市,市辖区,大兴区,"瀛海镇姜场村公交
站对面","北京北控兴凤水环
境治理有限公司
（姜凤场站）","北京北控兴凤水环
境治理有限公司",91110115MA00FNGB31003R,0.05,5.4
7,北京市,市辖区,大兴区,"西红门镇北京正华
商砼西100米路南","北京北控兴凤水环
境治理有限公司
（南苑灌渠场站）","北京北控兴凤水环
境治理有限公司",91110115MA00FNGB31001R,0.36,62.44
8,北京市,市辖区,大兴区,"西红门镇建新庄村
委会南400米","北京北控兴凤水环
境治理有限公司
（新西凤场站）","北京北控兴凤水环
境治理有限公司",91110115MA00FNGB31002R,0.28,47.07
9,北京市,市辖区,大兴区,瀛海镇瀛亨街2号,"北京市大兴区瀛海
污水处理厂","北京北控兴海水务
有限公司",91110115MA00DMY12C001U,3,251.64
10,北京市,市辖区,怀柔区,"怀北镇神山村西南
侧",雁栖污水处理厂,"北京北排京怀水务
有限公司（怀柔区
怀北污水处理厂）",91110116080466141B003R,0.6,168.22
11,北京市,市辖区,怀柔区,"庙城镇庙城村302
号",怀柔区污水处理厂,"北京北排京怀水务
有限公司（怀柔区
污水处理厂）",91110116080466141B004R,13,2657.62
12,北京市,市辖区,通州区,"中关村科技园区通
州园光机电一体化
产业基地",次渠污水处理厂,"北京北排京津冀水
环境科技发展有限
公司",91110000MA00F5LQ90003R,1,249.03
13,北京市,市辖区,房山区,"城关街道田各庄村
501号院","房山城关污水处理
厂","北京北排京津冀水
环境科技发展有限
公司房山城关污水
处理厂",91110000MA00F5LQ90002X,2,800.11
14,北京市,市辖区,房山区,"城关街道田各庄村
501号院",房山城关再生水厂,"北京北排京津冀水
环境科技发展有限
公司房山城关再生
水厂",91110000MA00F5LQ90001U,2,537.42
15,北京市,市辖区,房山区,河北镇万佛堂村,河北镇污水处理厂,"北京北排京津冀水
环境科技发展有限
公司河北镇污水处
理厂",91110000MA00F5LQ90009R,0.5,11.61
16,北京市,市辖区,延庆区,康庄镇南曹营村北,康庄镇污水处理厂,"北京北排京津冀水
环境科技发展有限
公司",91110000MA00F5LQ90004R,0.89,66.54
17,北京市,市辖区,房山区,青龙湖镇大马村,"青龙湖镇污水处理
厂","北京北排京津冀水
环境科技发展有限
公司青龙湖镇污水
处理厂",91110000MA00F5LQ90006Q,0.35,42.16
18,北京市,市辖区,房山区,周口店镇周口村,"周口店镇污水处理
厂","北京北排京津冀水
环境科技发展有限
公司周口店镇污水
处理厂",91110000MA00F5LQ90005V,0.5,72.98
19,北京市,市辖区,朝阳区,"大屯乡辛店村甲
162号",北小河再生水厂,"北京北排水环境发
展有限公司北小河
再生水厂",911100003183045308002Y,10,3121.94
20,北京市,市辖区,朝阳区,东风乡将台洼52号,"北京北排水环境发
展有限公司酒仙桥
再生水厂","北京北排水环境发
展有限公司酒仙桥
再生水厂",911100003183045308001Z,20,7847.08
21,北京市,市辖区,丰台区,"新村街道杨树庄
196号08幢","北京北排水环境发
展有限公司-卢沟
桥再生水厂","北京北排水环境发
展有限公司-卢沟
桥再生水厂",91110106330275242P001Y,10,3621.54
22,北京市,市辖区,海淀区,东升乡马房村村北,清河再生水厂,"北京北排水环境发
展有限公司清河再
生水厂",91110108738210629B001Q,55,17858.26
23,北京市,市辖区,丰台区,"卢沟桥乡大屯村（建
工二建砼搅拌站北
侧）","北京北排水环境发
展有限公司-吴家
村再生水厂","北京北排水环境发
展有限公司-吴家
村再生水厂",91110106749390477T001Q,8,2879.16
24,北京市,市辖区,朝阳区,"小红门乡肖村南四
环东路86号","北京北排水环境发
展有限公司小红门
再生水厂","北京北排水环境发
展有限公司小红门
再生水厂",91110105753315015C002V,60,19280.99
